,File,Type,UsedInGreenZoneMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish




Greenzonequestprequel_name,Quest,Quest Info,,,Whats that sound?
Greenzonequestprequel_subtitle,Quest,Quest Info,,,Whats that sound?
Greenzonequestprequel_description,Quest,Quest Info,,,"Whats that sound?"



tutorialTipGreenzonequestprequel1_title,Journal Tip,,,,Whats that sound?
tutorialTipGreenzonequestprequel1,Journal Tip,,,,"What's that sound nearby?
Sounds like we got movement over there.  I should check it out, carefully...
If you miss a screen tip like this, you can see it in the journal entries too."


tutorialTipGreenzonequestprequel2_title,Journal Tip,,,,Survivor Soldier
tutorialTipGreenzonequestprequel2,Journal Tip,,,,"You hear someone yelling through a gas mask.  
Hey man!  He shouts.  Dont shoot!  Dont shoot!  Thanks.  Relief not to get shot at again.  You would NOT believe some of the crazies around here.  Where you from?  Santa Fe you say?  Yeh, the Air Force tore that place up.  Look man I am trying to find whats left of my platoon.  Everybody scattered when Battalion HQ got infected.  So hey think twice before you shoot.  Lots of my buddies around here.
Activate the Rally Point and then look around to find the soldier.  Then kill two zombies to proceed with the questline."


tutorialTipGreenzonequestprequel3_title,Journal Tip,,,,Survivor Soldier
tutorialTipGreenzonequestprequel3,Journal Tip,,,,"The soldier shouts at you again.  Like I said man watch out and careful who you shoot at.  My platoon is all over the place and so are some civilians.   I gotta get outta here.  Good luck!
If you miss a screen tip like this, you can see it in the journal entries too."


RaiderArmy_name,Quest,Quest Info,,,Gunfire!
RaiderArmy_subtitle,Quest,Quest Info,,,Gunfire!
RaiderArmy_description,Quest,Quest Info,,,"Gunfire!"

tutorialTipRaiderArmy1_title,Journal Tip,,,,Gunfire!
tutorialTipRaiderArmy1,Journal Tip,,,,"Gunfire.  Screams, yells.  Sounds of pain.  Coming from the distance.  It sounds almost like, people shooting each other and not zombies.  
Head to the Rally Point to investigate the shooting."


tutorialTipRaiderArmy2_title,Journal Tip,,,,Gunfire!
tutorialTipRaiderArmy2,Journal Tip,,,,"Getting closer… almost there, get yourself ready. 
Activate the Rally Point and later kill at least one zombie to continue the quests."


tutorialTipRaiderArmy3_title,Journal Tip,,,,Gunfire!
tutorialTipRaiderArmy3,Journal Tip,,,,"I just witnessed a battle between army soldiers and local bandits.  As if trying to survive and find a home for my fellow Santa Fe refugees wasn’t enough, now I’ve got to try and save Western civilization from bandits and raiders too!"







tutorialTipGreenzonequest0_title,Journal Tip,,,,WELCOME TO THE GREEN ZONE
tutorialTipGreenzonequest0,Journal Tip,,,,"WELCOME to the Green Zone Quest mod!  I hope you enjoy it.  The Green Zone quest will begin after you finish the first locate White River Trader quest.  In addition to fighting and surviving, building and farming will be important to the Green Zone story and your adventures will cover much of the map.
Green Zone is a complimentary set of story based quests that can run alongside the White River trader quests and other mods you may have installed like Rebirth.  You can switch active quests at your leisure and finish the Green Zone story at your own pace."
